id,I_e,I_e_err,PA,PA_err,X0,X0_err,Y0,Y0_err,dX0,dY0,dec,ell,ell_err,m_tot,mu_0,mu_e,mu_e_ave,n,n_err,r_e,r_e_err,ra,I_e_forced_g,I_e_err_forced_g,m_tot_forced_g,mu_0_forced_g,mu_e_forced_g,mu_e_ave_forced_g,I_e_forced_r,I_e_err_forced_r,m_tot_forced_r,mu_0_forced_r,mu_e_forced_r,mu_e_ave_forced_r,flag,central_mask_frac,x_image,y_image,x_hsc,y_hsc,ra_sex,dec_sex,a_image,b_image,theta_image,ellipticity,kron_radius,petro_radius,flags,mag_auto_g,mag_auto_r,mag_auto_i,magerr_auto_g,magerr_auto_r,magerr_auto_i,mag_petro_g,mag_petro_r,mag_petro_i,magerr_petro_g,magerr_petro_r,magerr_petro_i,mag_ap0_g,mag_ap1_g,mag_ap2_g,mag_ap3_g,mag_ap4_g,mag_ap5_g,mag_ap6_g,mag_ap7_g,mag_ap8_g,mag_ap9_g,magerr_ap0_g,magerr_ap1_g,magerr_ap2_g,magerr_ap3_g,magerr_ap4_g,magerr_ap5_g,magerr_ap6_g,magerr_ap7_g,magerr_ap8_g,magerr_ap9_g,mag_ap0_r,mag_ap1_r,mag_ap2_r,mag_ap3_r,mag_ap4_r,mag_ap5_r,mag_ap6_r,mag_ap7_r,mag_ap8_r,mag_ap9_r,magerr_ap0_r,magerr_ap1_r,magerr_ap2_r,magerr_ap3_r,magerr_ap4_r,magerr_ap5_r,magerr_ap6_r,magerr_ap7_r,magerr_ap8_r,magerr_ap9_r,mag_ap0_i,mag_ap1_i,mag_ap2_i,mag_ap3_i,mag_ap4_i,mag_ap5_i,mag_ap6_i,mag_ap7_i,mag_ap8_i,mag_ap9_i,magerr_ap0_i,magerr_ap1_i,magerr_ap2_i,magerr_ap3_i,magerr_ap4_i,magerr_ap5_i,magerr_ap6_i,magerr_ap7_i,magerr_ap8_i,magerr_ap9_i,fwhm_g,fwhm_r,fwhm_i,flux_radius_g,flux_radius_r,flux_radius_i,ebv,A_g,A_r,A_i,patch_id,g-i,g-r,candy,junk,tidal,cirrus,notes,viz-id,cat-id
42759,1.21294288549,0.07824050453510001,86.0243,1.55108,139.3698,1.4241,140.786,0.4845,-2.3698,-3.786,43.6717253168,0.5877220000000001,0.0228616,21.0327526908,25.8817763069,26.790399121300002,26.3371760633,0.573886,0.0532664,7.1482488,0.30060576,247.282726508,0.370624291383,0.0132274659864,22.320018868600002,27.169042484699997,28.077665299099998,27.624442241100002,0.8675772392290001,0.022411139455800002,21.3965831949,26.245606811,27.1542296254,26.701006567399997,0.0,0.05904907975459999,3316.9172,1608.63,31216.9172,13508.63,247.2828202,43.671578000000004,9.921,7.742000000000001,19.4,0.22,6.81,10.56,3,23.0299,21.8194,21.5169,0.0828,0.0463,0.0435,23.2832,21.7309,21.4475,0.1623,0.0663,0.0634,28.4373,27.8537,27.3825,27.0711,26.8007,26.4659,25.0376,24.0244,23.7214,23.5003,0.3026,0.2365,0.1913,0.1724,0.1569,0.1315,0.0706,0.0555,0.0551,0.0578,27.9815,27.3921,26.9106,26.5005,26.1386,25.8083,24.3943,23.178,22.7997,22.5689,0.3391,0.2636,0.2112,0.1739,0.1454,0.1224,0.0666,0.0434,0.0402,0.0418,27.5253,27.0658,26.5128,26.0181,25.6007,25.2598,23.8735,22.7699,22.3534,22.156999999999996,0.2767,0.2424,0.1819,0.1385,0.11,0.0917,0.0512,0.037000000000000005,0.0331,0.0355,8.83848,8.83848,8.83848,3.372096,4.519872,3.89088,0.006662183200479999,0.0215388382871,0.0152630617123,0.010892669532800001,63,1.27662000905,0.917159897125,0,0,1,0, ,3,1
66153,2.4332518424000003,0.0629595379819,148.717,0.8860379999999999,164.38400000000001,0.3298,166.3338,0.4396,-1.3840000000000001,-3.3338,43.726207326499996,0.49419700000000005,0.011648200000000001,20.5588797257,25.380836702399996,26.034532347800003,25.674732907,0.45277799999999996,0.0214327,5.916842400000001,0.101389848,245.714663658,1.0838683390000001,0.0137475552721,21.4369060523,26.258863029,26.9125586744,26.5527592336,1.9912946428599998,0.0206680130385,20.776508564500002,25.5984655412,26.2521611866,25.8923617458,0.0,0.0,4091.8313,2723.2949,23991.8313,14623.2949,245.71469930000004,43.7261122,24.3,11.517999999999999,61.65,0.526,4.71,5.94,18,21.4446,20.6739,20.4867,0.0262,0.02,0.0214,21.4551,20.6577,20.4491,0.0333,0.0249,0.026000000000000002,27.9439,27.2692,26.8136,26.4265,26.1087,25.8349,24.3461,23.0639,22.6285,22.2329,0.1961,0.1426,0.1162,0.098,0.0853,0.0757,0.0385,0.0236,0.0207,0.0185,27.2234,26.644000000000002,26.2158,25.8694,25.5594,25.2562,23.7273,22.366999999999997,21.8884,21.5308,0.1573,0.1249,0.1044,0.0914,0.0801,0.0692,0.0339,0.0194,0.0164,0.0151,27.2039,26.5415,26.0243,25.5954,25.2525,24.9551,23.4386,22.1181,21.6539,21.2593,0.1958,0.14400000000000002,0.1108,0.09,0.0765,0.0665,0.0329,0.0195,0.0167,0.0149,16.873920000000002,16.873920000000002,16.873920000000002,4.6588080000000005,4.885608,4.5983279999999995,0.0128394520651,0.041509948526400005,0.029415184681099996,0.020992504126400004,92,0.8575088822,0.648302723955,1,0,0,0, ,6,2
140911,2.93273809524,0.0994809382086,8.29866,1.1283100000000001,104.8108,0.1907,105.4756,0.3525,-0.8108,-1.4756,44.335698583,0.468971,0.014295400000000002,21.0093322281,24.8548413724,25.831816798600002,25.3560194252,0.606073,0.029577999999999997,4.0521768,0.08874952800000001,241.376535112,1.3910926870700002,0.019331030328799997,21.8191252606,25.6646344049,26.641609831100002,26.1658124577,2.4087797619,0.0278070436508,21.2230226953,25.068531839600002,26.045507265799998,25.5697098924,0.0,0.0,4174.7261,3811.5112,28074.7261,27711.5112,241.3765406,44.3356536,14.341,8.904,-83.5,0.379,3.75,6.6,18,21.9066,21.2978,21.086,0.021,0.0166,0.0174,21.9039,21.2756,21.1057,0.0335,0.0261,0.0284,27.5138,26.9007,26.4721,26.0866,25.7734,25.4812,24.0448,22.8801,22.4915,22.2064,0.1349,0.1031,0.0865,0.073,0.0636,0.0557,0.0296,0.0203,0.0186,0.0183,26.9681,26.3169,25.8118,25.4052,25.0991,24.8202,23.4003,22.2483,21.8751,21.61,0.1134,0.0836,0.0654,0.0541,0.0474,0.0421,0.0227,0.0157,0.0146,0.0146,26.548000000000002,25.9661,25.5372,25.1422,24.8062,24.4995,23.0907,21.9615,21.619,21.3485,0.0981,0.0771,0.0647,0.0541,0.0461,0.0399,0.0218,0.0154,0.0147,0.0147,11.39712,11.39712,11.39712,3.13488,3.07692,2.947392,0.0114765178291,0.0371035821415,0.0262927023465,0.018764106650599997,183,0.791453557009,0.585291685505,1,0,0,0, ,12,3
142672,2.1366780045400002,0.0828656462585,101.08,6.828069999999999,103.7803,0.2231,105.5406,0.2015,1.2197,-0.5406,43.989569287100004,0.105512,0.0230766,21.0417652902,24.674936894000002,26.1756523017,25.5520995651,0.8507309999999999,0.0353492,3.3665856,0.083394024,240.916495349,1.11302437642,0.0137479804422,21.749851298600003,25.383022902399997,26.883738310100004,26.2601855735,1.69635416667,0.018712230725599997,21.292321663800003,24.925493267600004,26.426208675300003,25.8026559387,0.0,0.0,3329.4417,472.0519,35229.4417,20372.0519,240.9163227,43.9895932,11.497,9.0,-33.37,0.217,5.27,8.58,2,21.9024,21.4592,21.1734,0.0263,0.0239,0.0233,21.9177,21.4389,21.1443,0.0435,0.0383,0.0369,27.1776,26.6182,26.1856,25.834,25.5195,25.2721,23.9143,22.7803,22.4608,22.2565,0.0953,0.0758,0.0636,0.0551,0.0481,0.0438,0.0251,0.0176,0.0173,0.0184,26.7676,26.1747,25.7374,25.3757,25.0563,24.7793,23.445,22.3265,22.0225,21.8013,0.0894,0.069,0.0576,0.0494,0.043,0.0381,0.0223,0.0159,0.0158,0.0165,26.6132,26.0297,25.5546,25.1685,24.8526,24.5564,23.1721,22.0642,21.7481,21.5334,0.0981,0.0764,0.0616,0.0517,0.0451,0.0392,0.0219,0.0158,0.0155,0.0164,8.48736,8.86368,8.50248,2.992584,2.946384,2.988048,0.0108666885579,0.035132004107800006,0.024895583486200003,0.0177670357922,186,0.6907210400839999,0.447293214178,1,0,0,0, ,13,4
143210,4.69143282313,0.114417517007,92.5744,0.692438,122.8049,0.0767,122.7072,0.0457,-1.8049,-1.7072,44.1098496499,0.30233899999999997,0.00625466,19.3057221227,21.8734168721,25.3217362449,24.352567476100003,1.7515599999999998,0.0329281,4.8804168,0.068647152,240.880046547,3.4561897675699997,0.013911422902500001,19.6374919275,22.205186676900002,25.6535060498,24.684337280900003,4.33145549887,0.017342439059,19.392401235599998,21.960095985,25.4084153579,24.439246589099998,0.0,0.37007168458800005,3851.9827,3056.2476,35751.9827,22956.2476,240.8801,44.1098282,19.06,16.155,-4.01,0.152,3.5,6.6,2,19.6602,19.4816,19.4209,0.0038,0.0044,0.0053,19.5639,19.4393,19.4021,0.0066,0.0081,0.0098,25.1109,24.5221,24.0433,23.6828,23.364,23.0988,21.8167,20.7649,20.4747,20.2427,0.0142,0.0109,0.0088,0.0076,0.0066,0.0059,0.0036,0.0028,0.0028,0.0029,24.855999999999998,24.2613,23.7808,23.4205,23.1016,22.8367,21.5588,20.5234,20.2443,20.0152,0.0154,0.0118,0.0095,0.0081,0.0071,0.0064,0.0039,0.003,0.0031,0.0032,24.6972,24.1131,23.6375,23.2745,22.9573,22.6978,21.4389,20.4189,20.1459,19.9323,0.0168,0.013000000000000001,0.0105,0.009000000000000001,0.0079,0.0071,0.0044,0.0035,0.0035,0.0037,7.79856,7.14,6.6276,3.767736,3.5637839999999996,3.422328,0.0100676928426,0.03254885096,0.0230650843023,0.0164606777976,186,0.315681631638,0.235606925242,1,0,0,0, ,14,5
154676,7.731009070289999,0.11473143424,32.4643,0.774768,126.3271,0.0591,128.5512,0.0699,0.6729,-1.5512,44.2904975254,0.27289543218400003,0.0113624,19.3091711872,22.7094928199,24.779409543000003,24.030519066300002,1.11474,0.0143686,4.11510769212,0.027943944,244.48318115700002,5.19561366213,0.0164510345805,19.7406678667,23.140991151599998,25.2109078747,24.462017398,6.56101190476,0.021766333616800002,19.4873329276,22.8876562125,24.9575729356,24.2086824589,0.0,0.111979166667,3731.5442,2820.3474,11631.5442,26720.3474,244.48290649999998,44.2905352,18.649,14.919,-9.16,0.2,3.5,5.28,0,19.6386,19.4188,19.2516,0.0045,0.0051,0.0054,19.6167,19.3995,19.2475,0.0066,0.0075,0.0081,25.7234,25.1004,24.6155,24.2187,23.8878,23.5905,22.1629,20.938000000000002,20.4864,20.1326,0.0313,0.0234,0.0187,0.0156,0.0134,0.0116,0.0062,0.004,0.0035,0.0032,25.3909,24.7609,24.2743,23.8715,23.5468,23.261999999999997,21.83,20.6343,20.2156,19.8904,0.032,0.0238,0.019,0.0157,0.0136,0.0119,0.0064,0.0042,0.0038,0.0036,25.0707,24.4803,24.0137,23.6178,23.2881,22.9969,21.6018,20.448,20.0295,19.7089,0.0298,0.023,0.0187,0.0155,0.0134,0.0117,0.0065,0.0045,0.004,0.0038,8.736,8.44704,9.91536,3.7477440000000004,3.6392160000000002,3.59268,0.011454203728399998,0.0370314406539,0.0262415807418,0.018727623095900002,199,0.413192861942,0.242545079188,1,0,0,0, ,15,6
159796,1.24530187075,0.173515447846,176.488,4.44181,116.7828,0.6257,116.664,1.1898,-0.7828,-0.664,44.6958197972,0.45428100000000005,0.055453800000000004,21.8032818825,25.519762889000003,26.7618133987,26.2062955598,0.7302310000000001,0.122057,4.102308,0.37711296,241.519607447,0.7409119897959999,0.0357405045351,22.3670519268,26.0835329333,27.325583443000003,26.770065604000003,1.14923823696,0.0493438208617,21.8904433158,25.606924322199998,26.848974832,26.293456993000003,0.0,0.0013966480446899999,1934.3695,3515.2815,25834.3695,35415.2815,241.51956890000002,44.695848600000005,8.408,5.02,79.66,0.40299999999999997,7.4,10.56,2,22.5411,21.9963,21.7935,0.0775,0.0645,0.0587,22.7324,22.2092,22.1006,0.1318,0.1119,0.1111,28.8777,28.3572,27.6841,27.0931,26.6751,26.3744,24.9417,23.4779,23.0516,22.798000000000002,0.8281,0.684,0.4594,0.3198,0.254,0.2199,0.1176,0.0611,0.0541,0.0551,28.1272,27.2158,26.7043,26.2872,25.9776,25.7187,24.4352,23.0787,22.6642,22.3938,0.5701,0.3285,0.2561,0.2093,0.1836,0.1652,0.1014,0.0581,0.0521,0.0522,26.9317,26.4255,26.0959,25.816,25.5701,25.353,23.9731,22.7509,22.4668,22.2254,0.20800000000000002,0.1741,0.1605,0.1488,0.1385,0.1295,0.0727,0.0471,0.0476,0.049,6.5520000000000005,6.5520000000000005,6.5520000000000005,3.019464,3.334968,3.280032,0.0126647585571,0.0409451644153,0.0290149618544,0.020706880240900002,205,0.543531760126,0.46467840843900005,1,0,0,0, ,16,7
174536,3.8920422335600002,0.0905002834467,83.2172,0.682345,125.2272,0.1787,125.2603,0.0993,-0.2272,-0.2603,44.358832256099994,0.422688,0.00792921,20.02991757,23.807172636199997,25.5245561393,24.8498601383,0.9513659999999999,0.027327499999999998,4.8327384,0.068231688,242.29613026299998,2.62097859977,0.0167836947279,20.4592027432,24.2364578094,25.9538413126,25.279145311500002,3.3528734410400003,0.021884105725599998,20.1918185289,23.969073595100003,25.6864570983,25.011761097199997,0.0,0.19404761904800003,2081.896,274.75,13981.896,28174.75,242.2960866,44.35885510000001,17.791,10.707,-1.01,0.39799999999999996,4.47,7.26,2,20.6204,20.3297,20.1219,0.0129,0.0136,0.0134,20.6227,20.2929,20.0715,0.0211,0.0214,0.0208,26.1896,25.5414,25.0672,24.6453,24.3124,24.0228,22.7295,21.6339,21.2606,21.0281,0.0528,0.0391,0.0314,0.0257,0.022000000000000002,0.0193,0.0117,0.0085,0.008,0.0083,25.9637,25.3034,24.8401,24.4358,24.1131,23.8319,22.5137,21.4025,21.0233,20.7749,0.059000000000000004,0.0432,0.035,0.0292,0.0252,0.0223,0.0132,0.0095,0.0088,0.009000000000000001,25.8171,25.2027,24.743000000000002,24.3362,24.0084,23.7101,22.3652,21.2537,20.8757,20.6214,0.0615,0.047,0.0382,0.0317,0.0273,0.0237,0.0138,0.0099,0.0092,0.0093,8.85192,9.63144,10.54368,3.2291279999999998,3.362856,3.537408,0.011328170566700001,0.036623975442,0.0259528387682,0.018521558876499998,223,0.41118275663500004,0.256713077626,1,0,0,0, ,17,8
178112,4.413229875280001,0.0836975623583,1.6380000000000001,0.998294,132.9979,0.028999999999999998,132.8047,0.0329,-0.9979,-0.8047,43.968288748999996,0.179903,0.00608976,19.218399499700002,21.5247197848,25.388108626300003,24.366928153899998,1.94304,0.020318799999999998,4.717188,0.056701848,239.493282212,2.7663584183700003,0.00815256519274,19.7255197533,22.031840038400002,25.8952288799,24.874048407600004,3.8145904195,0.0100746882086,19.3766710891,21.6829913742,25.5463802158,24.5251997434,0.0,0.18158783783799998,1913.8801,3923.3933,25813.8801,19823.3933,239.4932898,43.968316200000004,20.862,16.007,6.26,0.233,3.5,5.94,3,19.8805,19.5513,19.4044,0.0055,0.0051,0.0053,19.9019,19.5608,19.4394,0.0095,0.0088,0.0093,24.9456,24.3661,23.913,23.5689,23.2808,23.0497,21.9519,21.0629,20.7379,20.4523,0.0137,0.0106,0.0088,0.0077,0.0069,0.0063,0.0046,0.0041,0.004,0.0039,24.6789,24.0863,23.623,23.2649,22.9638,22.7183,21.5726,20.6852,20.3736,20.0984,0.0136,0.0105,0.0086,0.0074,0.0065,0.0059,0.0041,0.0037,0.0036,0.0036,24.3752,23.7864,23.3223,22.9696,22.677,22.4401,21.3486,20.5095,20.2195,19.9488,0.0121,0.0093,0.0076,0.0066,0.0059,0.0054,0.004,0.0037,0.0037,0.0037,5.79096,5.30208,9.2148,3.8549279999999997,3.745056,3.733632,0.009719527298899999,0.031423231757299996,0.0222674370418,0.0158914271337,226,0.491588448976,0.33969286948399996,1,0,0,0, ,18,9
195759,1.48213222789,0.07814873866210001,114.75299999999999,0.801087,172.817,0.6983,170.8186,0.3729,-1.817,0.1814,43.7680662333,0.691916,0.012794100000000001,21.2337870365,25.405572347199996,26.572782623000002,26.0386285337,0.695263,0.0464274,6.569673599999999,0.25921896,240.072582458,0.45935728458,0.0157542871315,22.505627893699998,26.6774132045,27.8446234803,27.310469390999998,1.10118339002,0.0199841269841,21.5563552835,25.728140594299997,26.89535087,26.361196780700002,0.0,0.0030991735537199997,975.4364,3609.605,16875.4364,15509.605,240.0726071,43.768102899999995,21.729,8.168,18.53,0.624,4.98,9.9,2,22.6569,21.5113,21.0014,0.0729,0.0321,0.0244,99.0,23.0297,21.2355,99.0,0.258,0.0603,28.4002,27.7425,27.3433,27.0323,26.8218,26.6785,25.0911,23.8098,23.3811,23.0708,0.3287,0.2356,0.2061,0.1849,0.17800000000000002,0.1781,0.0826,0.0508,0.0449,0.0434,27.5985,26.9603,26.4714,26.0851,25.796999999999997,25.5367,24.0637,22.9006,22.486,22.1867,0.1985,0.1449,0.1166,0.0977,0.0875,0.0786,0.0405,0.0278,0.0249,0.0243,27.6495,27.1799,26.5871,26.0887,25.6875,25.381,23.8056,22.6041,22.1524,21.8097,0.2537,0.2163,0.1583,0.1195,0.0965,0.0831,0.039,0.0258,0.0223,0.0209,13.436639999999999,13.436639999999999,13.436639999999999,3.47088,4.154136,4.8355440000000005,0.013440234561100002,0.0434522783361,0.0307915773795,0.0219747835074,249,1.2503633623700001,0.936611909243,0,0,1,0, ,19,10
